"fold","clinical","clinical_gene","gain"
1,0.648767605633803,0.8125,0.163732394366197
2,0.700984780662489,0.829006266786034,0.128021486123545
3,0.673815907059875,0.821268990169794,0.14745308310992
4,0.662727272727273,0.877272727272727,0.214545454545454
5,0.697633654688869,0.775635407537248,0.0780017528483786
6,0.665467625899281,0.820143884892086,0.154676258992806
7,0.765185856754306,0.86038077969175,0.0951949229374434
8,0.666666666666667,0.833333333333333,0.166666666666667
9,0.71563981042654,0.843601895734597,0.127962085308057
10,0.669144981412639,0.851301115241636,0.182156133828996
