"fold","clinical","clinical_pca","gain"
1,0.648767605633803,0.648767605633803,0
2,0.700984780662489,0.694717994628469,-0.00626678603401964
3,0.673815907059875,0.655942806076854,-0.0178731009830204
4,0.662727272727273,0.656363636363636,-0.00636363636363635
5,0.697633654688869,0.733567046450482,0.0359333917616126
6,0.665467625899281,0.669964028776978,0.00449640287769781
7,0.765185856754306,0.758839528558477,-0.00634632819582959
8,0.666666666666667,0.661319073083779,-0.00534759358288761
9,0.71563981042654,0.727014218009479,0.0113744075829385
10,0.669144981412639,0.691449814126394,0.0223048327137547
