"pc","variance","cumulative_variance"
1,0.0332345702917151,0.0332345702917151
2,0.031446248124215,0.0646808184159301
3,0.0307498014907864,0.0954306199067164
4,0.0305177889707749,0.125948408877491
5,0.0294384691248769,0.155386878002368
6,0.028493920709447,0.183880798711815
7,0.0274717465548916,0.211352545266707
8,0.0271612537552012,0.238513799021908
9,0.0262798469569225,0.264793645978831
10,0.0259653640607094,0.29075901003954
11,0.0257631120140821,0.316522122053622
12,0.0253389642035939,0.341861086257216
13,0.024996744441766,0.366857830698982
14,0.0243883313122208,0.391246162011203
15,0.0239867448882674,0.41523290689947
16,0.0233244299297526,0.438557336829223
17,0.0227249567086894,0.461282293537912
18,0.02227520691104,0.483557500448952
19,0.0217523070316984,0.505309807480651
20,0.0214837249052639,0.526793532385914
21,0.0211593541348169,0.547952886520731
22,0.0205338047252323,0.568486691245964
23,0.0200032066778638,0.588489897923828
24,0.0196556047257015,0.608145502649529
25,0.0195780535986348,0.627723556248164
26,0.0189973294632243,0.646720885711388
27,0.0187636067307688,0.665484492442157
28,0.018460913015976,0.683945405458133
29,0.0180796919562579,0.702025097414391
30,0.0173935370717512,0.719418634486142
31,0.0171908784871486,0.736609512973291
32,0.0168257762804922,0.753435289253783
33,0.0164169775064576,0.769852266760241
34,0.0160817860377178,0.785934052797958
35,0.0153662863585448,0.801300339156503
36,0.0151642083656251,0.816464547522128
37,0.0149638511809241,0.831428398703052
38,0.0146959872897272,0.84612438599278
39,0.0146267924040683,0.860751178396848
40,0.0142692074783873,0.875020385875235
41,0.0140483342288883,0.889068720104123
42,0.0138646739338853,0.902933394038009
43,0.0135059347488711,0.91643932878688
44,0.0132873933406894,0.929726722127569
45,0.0130703070458533,0.942797029173422
46,0.0124090754960453,0.955206104669468
47,0.0122642646230552,0.967470369292523
48,0.0116629345211529,0.979133303813676
49,0.0106493763038139,0.98978268011749
50,0.0102173198825102,1
