"term","coef","hazard_ratio","lower_95","upper_95","p_value"
"nyha_nominalII",0.614196401991807,1.84817081626528,1.35799512390124,2.51527807867379,9.38056018567079e-05
"nyha_nominalIII",0.927188721092303,2.52739397152599,1.85357026026602,3.44617111324884,4.60924239843594e-09
"nyha_nominalIV",1.28390502155704,3.61071213988844,2.50496588831455,5.20455875984394,5.8856607342085e-12
"age",0.0302780544904632,1.03074109630203,1.02138092745799,1.04018704387801,7.75754318279931e-11
"genderMale",0.304921106801498,1.35651797874237,1.10326775657464,1.66790066662007,0.00382691357986902
"bmi",0.00999042432724012,1.0100404952206,0.991311663492269,1.0291231703978,0.295482644390514
"smokingFormer",0.0987638795075611,1.10380563765556,0.874049907357524,1.39395574035778,0.406861426997518
"smokingCurrent",0.0931270862004828,1.09760121637307,0.838675292300513,1.43646586616261,0.497526877409983
"diabetesYes",0.476424489990203,1.61030642985763,1.29602451480231,2.00080073210371,1.70280462059431e-05
"ejection_fraction",-0.0159005422666932,0.9842252039954,0.976909015804385,0.991596183992796,2.95553976405447e-05
"ns(log(creatinine), df = 2)1",0.00257629654786165,1.00257961805159,0.637838678043745,1.57589359995435,0.991091592524938
"ns(log(creatinine), df = 2)2",1.20351669778099,3.33181332485278,1.57685227510471,7.03996195897893,0.00161502667674105
"sodium",-0.0313934652348882,0.969094193176733,0.943963539153582,0.994893887629347,0.0191890961567893
