"term","coef","se","z","p_value","time_ratio","lower_95","upper_95"
"(Intercept)",0.865269319023476,2.11379889423177,0.409343254641992,0.682287776685522,2.37564580643751,0.0377120158057651,149.652382060717
"nyha_nominalII",-0.794985169627712,0.168247806235161,-4.72508490551464,2.30019230285341e-06,0.451587932090085,0.324733358152436,0.627997263877246
"nyha_nominalIII",-1.17453856676424,0.171148198475455,-6.86269897800114,6.75715201200176e-12,0.308961511911104,0.220912400079109,0.432104380778136
"nyha_nominalIV",-1.54731562856153,0.204334894125924,-7.5724493125877,3.66252139711094e-14,0.212818491623807,0.142585705059929,0.317645519640248
"age",-0.0310544092455915,0.00510556927032293,-6.08245772437189,1.18354109576107e-09,0.969422826076451,0.959770270216405,0.979172459161664
"genderMale",-0.3173465433837,0.116537790224457,-2.7231213392023,0.00646683014242131,0.72807840064978,0.579400916277356,0.914907351024944
"bmi",-0.0204029786550988,0.0114547843976315,-1.78117526675731,0.0748838228552278,0.979803753741079,0.958050914202378,1.00205049816623
"smokingFormer",-0.0955273092367719,0.131008977005546,-0.729166133651496,0.465900044533372,0.908893540125857,0.703065721623572,1.17497901245256
"smokingCurrent",-0.0466666063442544,0.151571206972364,-0.307885694627762,0.758169311435149,0.954405537305689,0.709108896893908,1.28455577645367
"diabetesYes",-0.617588725185342,0.125744105350077,-4.91147257731045,9.03949311866961e-07,0.539243134597173,0.421452933667672,0.689954049387343
"ejection_fraction",0.017329375995715,0.00415463249027553,4.17109721167317,3.03136499965223e-05,1.01748040075894,1.00922861983429,1.02579965092404
"ns(log(creatinine), df = 2)1",0.0426775198672446,0.257217672292458,0.165919858798504,0.86822001904801,1.0436012998952,0.63035689636859,1.72775721090251
"ns(log(creatinine), df = 2)2",-1.53094030015747,0.479426168088233,-3.19327646686927,0.00140668198864709,0.216332154490499,0.084532805464618,0.553626498130236
"sodium",0.0343034190062556,0.0151055427887102,2.27091601315339,0.0231520626873244,1.03489856698973,1.00470760124158,1.06599675630389
"Log(scale)",0.211660048278356,0.0374020674603718,5.65904674929037,1.52216091184757e-08,1.23572772589773,1.14837970426642,1.32971961005513
